max_depth,learning_rate,ACC,RECALL,PREC,F1
max_depth,learning_rate,ACC,RECALL,PREC,F1
max_depth,learning_rate,ACC,RECALL,PREC,F1
max_depth,learning_rate,ACC,RECALL,PREC,F1
max_depth,learning_rate,ACC,RECALL,PREC,F1
max_depth,learning_rate,ACC,RECALL,PREC,F1
max_depth,learning_rate,ACC,RECALL,PREC,F1
max_depth,learning_rate,ACC,RECALL,PREC,F1
max_depth,learning_rate,ACC,RECALL,PREC,F1
5,0.1,0.4772870815721712,0.4772870815721712,0.4674526672945848,0.4249776762844674
5,0.15,0.48406451926346983,0.48406451926346983,0.46606991380830554,0.433551494815094
5,0.2,0.48870427051450227,0.48870427051450227,0.4749786852655873,0.4401208478773857
5,0.25,0.49149783802166835,0.49149783802166835,0.4758293639960128,0.44389496565563974
5,0.3,0.49659913520866733,0.49659913520866733,0.48692268001447336,0.4510230420448929
max_depth,learning_rate,ACC,RECALL,PREC,F1
5,0.4,0.4993684108244668,0.4993684108244668,0.48655786087463165,0.4564714401021591
5,0.5,0.5021376864402662,0.5021376864402662,0.4867311618543344,0.46127474693521575
max_depth,learning_rate,ACC,RECALL,PREC,F1
3,1,0.4793761842297041,0.4793761842297041,0.45750365094684375,0.4290300041301382
3,7,0.47974056260020403,0.47974056260020403,0.45968603298344657,0.4299262554575496
4,1,0.490016032648302,0.490016032648302,0.47216348842466965,0.44460203509485785
max_depth,learning_rate,ACC,RECALL,PREC,F1
